농약제품목록,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
등록번호,구분,작물명,병해충명,품목명,일반명,유효성분 함유량,상표명,인축독성,어독성,용도,등록일,작용기작,희석배수,사용량,사용적기,사용방법,안전사용기준(시기),안전사용기준(횟수),제형,법인명(상호명)
166-살균-9,수입,고추(단고추류포함),탄저병,테부코나졸 미탁제,Tebuconazole,25%,가그라,Ⅳ급(저독성),Ⅱ급,살균,2020-06-30,사1,2000배,-,발병초 10일 간격,경엽처리,수확3일전,3회,미탁제,(주)피에이치엘
3-살균-416,제조,고추,탄저병,아족시스트로빈.디페노코나졸 액상수화제,Azoxystrobin+Difenoconazole,20(12+8)%,가드너,Ⅳ급(저독성),Ⅱ급,살균,2023-11-08,다3+사1,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)동방아그로
3-살균-416,제조,단고추류,탄저병,아족시스트로빈.디페노코나졸 액상수화제,Azoxystrobin+Difenoconazole,20(12+8)%,가드너,Ⅳ급(저독성),Ⅱ급,살균,2023-11-08,다3+사1,2000배,-,발생초기,경엽처리,수확3일전,3회,액상수화제,(주)동방아그로
3-살균-59,제조,고추(단고추류포함),탄저병,코퍼옥시클로라이드.가스가마이신 수화제,Copper oxychloride+Kasugamycin,50.75(45+5.75)%,가스란,Ⅳ급(저독성),Ⅲ급,살균,1984-05-25,카+라3,1000배,-,발병초부터 10일간격,경엽처리,수확2일전,5회,수화제,(주)동방아그로
120-살균-14,수입,고추,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,강침탄,Ⅳ급(저독성),Ⅰ급,살균,2024-11-01,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,유원에코사이언스(주)
73-살균-8,제조,고추(단고추류포함),탄저병,클로로탈로닐 수화제,Chlorothalonil,75%,강침탄,Ⅳ급(저독성),Ⅰ급,살균,2003-12-26,카,700배,-,발병초부터 10일간격,경엽처리,수확7일전,4회,수화제,유원에코사이언스(주)
120-살균-14,수입,단고추류,탄저병,클로로탈로닐 액상수화제,Chlorothalonil,53%,강침탄,Ⅳ급(저독성),Ⅰ급,살균,2024-11-01,카,1000배,-,발생초기,경엽처리,수확2일전,3회,액상수화제,유원에코사이언스(주)
1-살균-185,제조,고추,탄저병,디티아논 수화제,Dithianon,75%,경농디치,Ⅳ급(저독성),Ⅰ급,살균,1995-06-24,카,1000배,-,발병초부터 10일간격,경엽처리,수확3일전,4회,수화제,(주)경농
8-살균-236,제조,고추(단고추류포함),탄저병,클로로탈로닐.크레속심메틸 액상수화제,Chlorothalonil+Kresoxim-methyl,42(35+7)%,경탄,Ⅳ급(저독성),Ⅰ급,살균,2005-03-29,카+다3,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)농협케미컬
26-살균-51,제조,고추(단고추류포함),탄저병,아족시스트로빈.테부코나졸 액상수화제,Azoxystrobin+Tebuconazole,15(5+10)%,고속탄,Ⅳ급(저독성),Ⅲ급,살균,2017-01-26,다3+사1,1000배,-,발병초 10일간격,경엽처리,수확3일전,3회,액상수화제,(주)대유
